t,name,resid
19.25,Transient 3,-0.4611795567714255
19.25,Transient 4,-2.2361580872553657
19.25,Transient 5,-0.4712761201176317
19.5,Transient 1,-0.29563126156580066
19.5,Transient 2,-1.4869421562928207
19.5,Transient 3,-0.795080939416287
19.5,Transient 4,-0.17857591095723954
19.5,Transient 5,-0.26237104935169486
19.75,Transient 1,-0.6950083395950676
19.75,Transient 2,0.6889732390204347
19.75,Transient 3,0.5909635690725581
19.75,Transient 4,-1.1747212067287847
19.75,Transient 5,0.4859572044664026
20,Transient 1,0.8100995564363478
20,Transient 2,-0.7254972416946769
20,Transient 3,1.0497232220313177
20,Transient 4,1.2064548822909789
20,Transient 5,0.7952795399518435
20.25,Transient 1,0.363771354861028
20.25,Transient 2,0.006017671956643839
20.25,Transient 3,-0.5242932117154665
20.25,Transient 4,-2.4724646973454067
20.25,Transient 5,1.9270497006380818
20.5,Transient 1,-0.2382506203059346
20.5,Transient 2,-0.3570696465502153
20.5,Transient 3,0.779319779345446
20.5,Transient 4,8.481533193866672e-4
20.5,Transient 5,0.29724106730450417
20.75,Transient 1,0.05739003439574952
20.75,Transient 2,-0.006919863211035413
20.75,Transient 3,1.4903759016601585
20.75,Transient 4,-0.31793904979977927
20.75,Transient 5,-0.2933591130261168
21,Transient 1,-0.4431529529028164
21,Transient 2,0.6849460419621997
21,Transient 3,-0.04757519728970744
21,Transient 4,0.7713329061714536
21,Transient 5,1.8706776355376684
21.25,Transient 1,-0.2333747076527962
21.25,Transient 2,0.3432249464480012
21.25,Transient 3,0.8426819960912294
21.25,Transient 4,-0.13778667437071673
21.25,Transient 5,0.9896561666141652
21.5,Transient 1,-0.6266981321285303
21.5,Transient 2,-0.3005849874216879
21.5,Transient 3,0.32761690920109265
21.5,Transient 4,0.5592315025610397
21.5,Transient 5,-0.07839632080788297
21.75,Transient 1,2.87110245761487
21.75,Transient 2,0.9908518973776564
21.75,Transient 3,-0.7323477556618833
21.75,Transient 4,-0.2338013630389578
21.75,Transient 5,-2.564716814095785
22,Transient 1,0.03739621542264877
22,Transient 2,1.064806425992989
22,Transient 3,-0.7270995105822259
22,Transient 4,1.5979838282617123
22,Transient 5,0.023112480197054898
22.25,Transient 1,1.1095087733497844
22.25,Transient 2,0.8956707239976172
22.25,Transient 3,2.1235604595901494
22.25,Transient 4,0.5619073486741442
22.25,Transient 5,0.6609389533926154
22.5,Transient 1,-0.07716300012251628
22.5,Transient 2,0.6364329948642833
22.5,Transient 3,1.798039968981202
22.5,Transient 4,-0.9894216014939764
22.5,Transient 5,1.4706234959263524
22.75,Transient 1,-0.16844600344757998
22.75,Transient 2,-2.2478002168852886
22.75,Transient 3,0.8536293021394568
22.75,Transient 4,0.5306729819025287
22.75,Transient 5,-0.011539299377818689
23,Transient 1,0.8323520579538246
23,Transient 2,-0.9172351227757534
23,Transient 3,-0.9730448620743672
23,Transient 4,-0.8196479079558634
23,Transient 5,-0.25267838124021647
23.25,Transient 1,0.7665805061647456
23.25,Transient 2,0.6707978291862643
23.25,Transient 3,-1.7042841505357316
23.25,Transient 4,-0.7658740359004318
23.25,Transient 5,0.7088607256058629
23.5,Transient 1,0.39200961750776214
23.5,Transient 2,2.107914092383877
23.5,Transient 3,-0.8543526422757474
23.5,Transient 4,2.3787265029309905
23.5,Transient 5,-0.2548260038236467
23.75,Transient 1,-1.7246333966357668
23.75,Transient 2,0.06035604590592507
23.75,Transient 3,0.4659211955263785
23.75,Transient 4,0.9426259316469039
23.75,Transient 5,-0.5767380880470458
24,Transient 1,1.8635865372852511
24,Transient 2,-0.7968801044043242
